date,demand_mw,is_outlier,year,month,day
2015-01-01,24518.208333333332,False,2015,1,1
2015-01-02,28477.583333333332,False,2015,1,2
2015-01-03,27077.208333333332,False,2015,1,3
2015-01-04,24970.416666666668,False,2015,1,4
2015-01-05,28787.0,False,2015,1,5
2015-01-06,26279.291666666668,False,2015,1,6
2015-01-07,34489.208333333336,False,2015,1,7
2015-01-08,35949.041666666664,False,2015,1,8
2015-01-09,36064.833333333336,False,2015,1,9
2015-01-10,29849.541666666668,False,2015,1,10
2015-01-11,26299.416666666668,False,2015,1,11
2015-01-12,34835.166666666664,False,2015,1,12
2015-01-13,36584.0,False,2015,1,13
2015-01-14,37025.375,False,2015,1,14
2015-01-15,37014.166666666664,False,2015,1,15
2015-01-16,37618.083333333336,False,2015,1,16
2015-01-17,30400.75,False,2015,1,17
2015-01-18,26742.833333333332,False,2015,1,18
2015-01-19,35245.958333333336,False,2015,1,19
2015-01-20,37222.125,False,2015,1,20
2015-01-21,37539.416666666664,False,2015,1,21
2015-01-22,37489.833333333336,False,2015,1,22
2015-01-23,37023.916666666664,False,2015,1,23
2015-01-24,30540.208333333332,False,2015,1,24
2015-01-25,26759.875,False,2015,1,25
2015-01-26,35654.041666666664,False,2015,1,26
2015-01-27,37207.958333333336,False,2015,1,27
2015-01-28,37752.125,False,2015,1,28
2015-01-29,37847.833333333336,False,2015,1,29
2015-01-30,37213.208333333336,False,2015,1,30
2015-01-31,31417.916666666668,False,2015,1,31
2015-02-01,27136.25,False,2015,2,1
2015-02-02,35475.666666666664,False,2015,2,2
2015-02-03,37630.833333333336,False,2015,2,3
2015-02-04,38134.25,False,2015,2,4
2015-02-05,37957.625,False,2015,2,5
2015-02-06,37926.875,False,2015,2,6
2015-02-07,31840.916666666668,False,2015,2,7
2015-02-08,28083.0,False,2015,2,8
2015-02-09,36955.583333333336,False,2015,2,9
2015-02-10,38049.333333333336,False,2015,2,10
2015-02-11,37877.083333333336,False,2015,2,11
2015-02-12,37315.958333333336,False,2015,2,12
2015-02-13,37215.416666666664,False,2015,2,13
2015-02-14,31876.041666666668,False,2015,2,14
2015-02-15,27143.708333333332,False,2015,2,15
2015-02-16,35222.0,False,2015,2,16
2015-02-17,36363.041666666664,False,2015,2,17
2015-02-18,36890.083333333336,False,2015,2,18
2015-02-19,36808.958333333336,False,2015,2,19
2015-02-20,36629.083333333336,False,2015,2,20
2015-02-21,31409.25,False,2015,2,21
2015-02-22,27037.125,False,2015,2,22
2015-02-23,34990.583333333336,False,2015,2,23
2015-02-24,37052.583333333336,False,2015,2,24
