date,demand_mw,is_outlier,year,month,day,price_eur_mwh
2015-01-01,24518.208333333332,False,2015,1,1,45.472115
2015-01-02,28477.583333333332,False,2015,1,2,56.988056
2015-01-03,27077.208333333332,False,2015,1,3,50.532976
2015-01-04,24970.416666666668,False,2015,1,4,45.106388
2015-01-05,28787.0,False,2015,1,5,53.368481
2015-01-06,26279.291666666668,False,2015,1,6,50.460413
2015-01-07,34489.208333333336,False,2015,1,7,60.380281
2015-01-08,35949.041666666664,False,2015,1,8,60.799374
2015-01-09,36064.833333333336,False,2015,1,9,56.331454
2015-01-10,29849.541666666668,False,2015,1,10,47.370952
2015-01-11,26299.416666666668,False,2015,1,11,39.805086
2015-01-12,34835.166666666664,False,2015,1,12,49.840886
2015-01-13,36584.0,False,2015,1,13,55.099425
2015-01-14,37025.375,False,2015,1,14,51.119244
2015-01-15,37014.166666666664,False,2015,1,15,53.062608
2015-01-16,37618.083333333336,False,2015,1,16,52.050396
2015-01-17,30400.75,False,2015,1,17,46.859878
2015-01-18,26742.833333333332,False,2015,1,18,47.666799
2015-01-19,35245.958333333336,False,2015,1,19,52.333516
2015-01-20,37222.125,False,2015,1,20,54.027181
2015-01-21,37539.416666666664,False,2015,1,21,53.487914
2015-01-22,37489.833333333336,False,2015,1,22,52.771618
2015-01-23,37023.916666666664,False,2015,1,23,52.664723
2015-01-24,30540.208333333332,False,2015,1,24,47.819865
2015-01-25,26759.875,False,2015,1,25,42.199392
2015-01-26,35654.041666666664,False,2015,1,26,50.437945
2015-01-27,37207.958333333336,False,2015,1,27,52.003077
2015-01-28,37752.125,False,2015,1,28,52.214509
2015-01-29,37847.833333333336,False,2015,1,29,51.753224
2015-01-30,37213.208333333336,False,2015,1,30,48.813797
2015-01-31,31417.916666666668,False,2015,1,31,51.353574
2015-02-01,27136.25,False,2015,2,1,40.724477
2015-02-02,35475.666666666664,False,2015,2,2,53.04464
2015-02-03,37630.833333333336,False,2015,2,3,60.243792
2015-02-04,38134.25,False,2015,2,4,56.667146
2015-02-05,37957.625,False,2015,2,5,56.477651
2015-02-06,37926.875,False,2015,2,6,53.142915
2015-02-07,31840.916666666668,False,2015,2,7,53.655752
2015-02-08,28083.0,False,2015,2,8,45.015666
2015-02-09,36955.583333333336,False,2015,2,9,56.903023
2015-02-10,38049.333333333336,False,2015,2,10,58.911112
2015-02-11,37877.083333333336,False,2015,2,11,60.059504
2015-02-12,37315.958333333336,False,2015,2,12,61.95392
2015-02-13,37215.416666666664,False,2015,2,13,56.332602
2015-02-14,31876.041666666668,False,2015,2,14,59.308791
2015-02-15,27143.708333333332,False,2015,2,15,52.594881
2015-02-16,35222.0,False,2015,2,16,55.776677
2015-02-17,36363.041666666664,False,2015,2,17,52.421429
2015-02-18,36890.083333333336,False,2015,2,18,55.652012
2015-02-19,36808.958333333336,False,2015,2,19,57.134796
2015-02-20,36629.083333333336,False,2015,2,20,56.411712
2015-02-21,31409.25,False,2015,2,21,48.978037
2015-02-22,27037.125,False,2015,2,22,51.058995
2015-02-23,34990.583333333336,False,2015,2,23,53.1614
2015-02-24,37052.583333333336,False,2015,2,24,52.971331
2015-02-25,37047.583333333336,False,2015,2,25,52.728332
2015-02-26,36591.125,False,2015,2,26,55.204607
2015-02-27,36083.708333333336,False,2015,2,27,57.703884
2015-02-28,30219.458333333332,False,2015,2,28,51.870455
2015-03-01,26252.291666666668,False,2015,3,1,47.895786
2015-03-02,34652.375,False,2015,3,2,45.85069
2015-03-03,35487.916666666664,False,2015,3,3,56.598285
2015-03-04,36132.875,False,2015,3,4,53.157824
2015-03-05,36255.166666666664,False,2015,3,5,51.290601
2015-03-06,36181.791666666664,False,2015,3,6,49.398522
2015-03-07,30197.208333333332,False,2015,3,7,43.233135
2015-03-08,26393.5,False,2015,3,8,45.731472
2015-03-09,34351.875,False,2015,3,9,50.139142
2015-03-10,35561.666666666664,False,2015,3,10,53.4231
2015-03-11,35678.208333333336,False,2015,3,11,51.998425
2015-03-12,36089.791666666664,False,2015,3,12,46.86019
2015-03-13,35046.125,False,2015,3,13,48.211872
2015-03-14,29755.458333333332,False,2015,3,14,51.857051
2015-03-15,26092.208333333332,False,2015,3,15,50.415924
2015-03-16,34923.291666666664,False,2015,3,16,55.228884
2015-03-17,35960.916666666664,False,2015,3,17,53.48136
2015-03-18,35700.541666666664,False,2015,3,18,52.512141
2015-03-19,35029.541666666664,False,2015,3,19,50.011724
2015-03-20,34633.083333333336,False,2015,3,20,61.57225
2015-03-21,29686.541666666668,False,2015,3,21,47.710501
2015-03-22,26074.125,False,2015,3,22,47.759798
2015-03-23,33005.083333333336,False,2015,3,23,54.729884
2015-03-24,34920.458333333336,False,2015,3,24,57.333652
2015-03-25,35764.375,False,2015,3,25,56.966859
2015-03-26,35240.083333333336,False,2015,3,26,54.038191
2015-03-27,34151.25,False,2015,3,27,49.420178
2015-03-28,28428.416666666668,False,2015,3,28,37.674503
2015-03-29,24390.75,False,2015,3,29,38.745199
2015-03-30,32334.75,False,2015,3,30,41.883421
2015-03-31,33975.875,False,2015,3,31,43.967281
2015-04-01,33959.458333333336,False,2015,4,1,42.8019
2015-04-02,33624.916666666664,False,2015,4,2,51.42063
2015-04-03,32126.541666666668,False,2015,4,3,43.823997
2015-04-04,26288.041666666668,False,2015,4,4,52.645512
2015-04-05,21982.875,False,2015,4,5,38.621205
2015-04-06,22149.875,False,2015,4,6,32.796514
2015-04-07,32417.041666666668,False,2015,4,7,47.923439
2015-04-08,34520.875,False,2015,4,8,46.65475
2015-04-09,34324.708333333336,False,2015,4,9,49.387295
2015-04-10,33531.333333333336,False,2015,4,10,48.560873
2015-04-11,27886.333333333332,False,2015,4,11,53.467941
2015-04-12,23876.416666666668,False,2015,4,12,46.793223
2015-04-13,31225.833333333332,False,2015,4,13,53.460702
2015-04-14,32948.625,False,2015,4,14,48.889997
2015-04-15,32985.541666666664,False,2015,4,15,48.5159
2015-04-16,33646.25,False,2015,4,16,49.500107
2015-04-17,33248.25,False,2015,4,17,46.370722
2015-04-18,27666.125,False,2015,4,18,44.8952
2015-04-19,23918.375,False,2015,4,19,49.317019
2015-04-20,31074.5,False,2015,4,20,51.981129
2015-04-21,32478.916666666668,False,2015,4,21,43.399781
2015-04-22,32926.708333333336,False,2015,4,22,48.109767
2015-04-23,32915.708333333336,False,2015,4,23,49.827685
2015-04-24,32459.75,False,2015,4,24,51.455017
2015-04-25,24730.916666666668,False,2015,4,25,51.727752
2015-04-26,23263.375,False,2015,4,26,48.481594
2015-04-27,32113.291666666668,False,2015,4,27,54.798527
2015-04-28,33133.875,False,2015,4,28,44.015448
2015-04-29,33129.041666666664,False,2015,4,29,49.637369
2015-04-30,32339.333333333332,False,2015,4,30,46.027156
2015-05-01,23463.875,False,2015,5,1,37.672324
2015-05-02,24524.416666666668,False,2015,5,2,43.193702
2015-05-03,23249.833333333332,False,2015,5,3,45.12298
2015-05-04,31589.375,False,2015,5,4,62.563948
2015-05-05,33693.708333333336,False,2015,5,5,54.264251
2015-05-06,33896.666666666664,False,2015,5,6,59.041429
2015-05-07,33715.416666666664,False,2015,5,7,53.355795
2015-05-08,33857.0,False,2015,5,8,52.352017
2015-05-09,28268.041666666668,False,2015,5,9,42.89294
