date,demand_mw,is_outlier,year,month,day
2021-01-01,23284.916666666668,False,2021,1,1
2021-01-02,25619.75,False,2021,1,2
2021-01-03,24488.958333333332,False,2021,1,3
2021-01-04,30408.291666666668,False,2021,1,4
2021-01-05,31768.125,False,2021,1,5
2021-01-06,26939.875,False,2021,1,6
2021-01-07,34846.125,False,2021,1,7
2021-01-08,35667.708333333336,False,2021,1,8
2021-01-09,30635.25,False,2021,1,9
2021-01-10,27381.166666666668,False,2021,1,10
2021-01-11,36216.875,False,2021,1,11
2021-01-12,38237.666666666664,False,2021,1,12
2021-01-13,38269.916666666664,False,2021,1,13
2021-01-14,37910.916666666664,False,2021,1,14
2021-01-15,37772.666666666664,False,2021,1,15
2021-01-16,31911.958333333332,False,2021,1,16
2021-01-17,28752.833333333332,False,2021,1,17
2021-01-18,37250.166666666664,False,2021,1,18
2021-01-19,38626.666666666664,False,2021,1,19
2021-01-20,38806.333333333336,False,2021,1,20
2021-01-21,38591.333333333336,False,2021,1,21
2021-01-22,37814.5,False,2021,1,22
2021-01-23,31295.125,False,2021,1,23
2021-01-24,27452.75,False,2021,1,24
2021-01-25,36133.083333333336,False,2021,1,25
2021-01-26,37739.333333333336,False,2021,1,26
2021-01-27,38350.25,False,2021,1,27
2021-01-28,37967.583333333336,False,2021,1,28
2021-01-29,37614.083333333336,False,2021,1,29
2021-01-30,30466.708333333332,False,2021,1,30
2021-01-31,26892.625,False,2021,1,31
2021-02-01,35517.458333333336,False,2021,2,1
2021-02-02,36949.791666666664,False,2021,2,2
2021-02-03,37012.833333333336,False,2021,2,3
2021-02-04,36271.333333333336,False,2021,2,4
2021-02-05,36058.375,False,2021,2,5
2021-02-06,29722.125,False,2021,2,6
2021-02-07,26090.958333333332,False,2021,2,7
2021-02-08,34104.208333333336,False,2021,2,8
2021-02-09,35799.25,False,2021,2,9
2021-02-10,36424.458333333336,False,2021,2,10
2021-02-11,35817.708333333336,False,2021,2,11
2021-02-12,37042.875,False,2021,2,12
2021-02-13,31796.5,False,2021,2,13
2021-02-14,28059.166666666668,False,2021,2,14
2021-02-15,36562.458333333336,False,2021,2,15
2021-02-16,37506.791666666664,False,2021,2,16
2021-02-17,37338.75,False,2021,2,17
2021-02-18,36992.958333333336,False,2021,2,18
2021-02-19,35825.25,False,2021,2,19
2021-02-20,29338.083333333332,False,2021,2,20
2021-02-21,25273.25,False,2021,2,21
2021-02-22,33527.916666666664,False,2021,2,22
2021-02-23,35038.708333333336,False,2021,2,23
2021-02-24,34568.916666666664,False,2021,2,24
2021-02-25,34385.166666666664,False,2021,2,25
2021-02-26,33874.958333333336,False,2021,2,26
2021-02-27,27946.125,False,2021,2,27
2021-02-28,24419.083333333332,False,2021,2,28
2021-03-01,32778.125,False,2021,3,1
2021-03-02,34285.041666666664,False,2021,3,2
2021-03-03,34961.25,False,2021,3,3
2021-03-04,34828.375,False,2021,3,4
2021-03-05,34242.875,False,2021,3,5
2021-03-06,29043.125,False,2021,3,6
2021-03-07,25041.625,False,2021,3,7
2021-03-08,33067.833333333336,False,2021,3,8
2021-03-09,35109.75,False,2021,3,9
2021-03-10,35295.541666666664,False,2021,3,10
2021-03-11,35234.833333333336,False,2021,3,11
2021-03-12,34355.875,False,2021,3,12
2021-03-13,28197.0,False,2021,3,13
2021-03-14,25328.583333333332,False,2021,3,14
2021-03-15,32625.791666666668,False,2021,3,15
2021-03-16,34629.333333333336,False,2021,3,16
2021-03-17,35057.125,False,2021,3,17
2021-03-18,35305.166666666664,False,2021,3,18
2021-03-19,34860.208333333336,False,2021,3,19
2021-03-20,29084.875,False,2021,3,20
2021-03-21,26118.208333333332,False,2021,3,21
2021-03-22,33648.666666666664,False,2021,3,22
2021-03-23,35017.083333333336,False,2021,3,23
2021-03-24,34640.041666666664,False,2021,3,24
2021-03-25,34043.583333333336,False,2021,3,25
2021-03-26,33162.25,False,2021,3,26
2021-03-27,27885.5,False,2021,3,27
2021-03-28,24369.270833333332,False,2021,3,28
2021-03-29,31629.416666666668,False,2021,3,29
2021-03-30,32816.458333333336,False,2021,3,30
2021-03-31,32640.666666666668,False,2021,3,31
2021-04-01,32509.125,False,2021,4,1
2021-04-02,30957.791666666668,False,2021,4,2
2021-04-03,25123.375,False,2021,4,3
2021-04-04,20993.166666666668,False,2021,4,4
2021-04-05,20895.875,False,2021,4,5
2021-04-06,31174.791666666668,False,2021,4,6
2021-04-07,33644.708333333336,False,2021,4,7
2021-04-08,33867.833333333336,False,2021,4,8
2021-04-09,33410.333333333336,False,2021,4,9
2021-04-10,27848.208333333332,False,2021,4,10
2021-04-11,24711.0,False,2021,4,11
2021-04-12,33029.833333333336,False,2021,4,12
2021-04-13,34102.958333333336,False,2021,4,13
2021-04-14,33732.666666666664,False,2021,4,14
2021-04-15,33740.416666666664,False,2021,4,15
2021-04-16,33136.0,False,2021,4,16
2021-04-17,27519.958333333332,False,2021,4,17
2021-04-18,24654.958333333332,False,2021,4,18
2021-04-19,32146.416666666668,False,2021,4,19
2021-04-20,33204.875,False,2021,4,20
2021-04-21,33357.083333333336,False,2021,4,21
2021-04-22,33331.125,False,2021,4,22
2021-04-23,32306.166666666668,False,2021,4,23
2021-04-24,26783.75,False,2021,4,24
2021-04-25,22933.0,False,2021,4,25
2021-04-26,30957.083333333332,False,2021,4,26
2021-04-27,33051.0,False,2021,4,27
2021-04-28,33121.875,False,2021,4,28
2021-04-29,32944.541666666664,False,2021,4,29
2021-04-30,31567.083333333332,False,2021,4,30
2021-05-01,23416.791666666668,False,2021,5,1
2021-05-02,22174.375,False,2021,5,2
2021-05-03,29925.416666666668,False,2021,5,3
2021-05-04,31818.875,False,2021,5,4
2021-05-05,32732.625,False,2021,5,5
2021-05-06,32400.5,False,2021,5,6
2021-05-07,31892.458333333332,False,2021,5,7
2021-05-08,26406.875,False,2021,5,8
2021-05-09,22981.458333333332,False,2021,5,9
2021-05-10,31075.25,False,2021,5,10
2021-05-11,33114.125,False,2021,5,11
2021-05-12,32779.916666666664,False,2021,5,12
2021-05-13,32233.083333333332,False,2021,5,13
2021-05-14,32163.625,False,2021,5,14
2021-05-15,26440.625,False,2021,5,15
2021-05-16,23181.125,False,2021,5,16
2021-05-17,30507.25,False,2021,5,17
2021-05-18,32084.541666666668,False,2021,5,18
2021-05-19,32423.75,False,2021,5,19
2021-05-20,31891.041666666668,False,2021,5,20
2021-05-21,31839.0,False,2021,5,21
2021-05-22,26771.458333333332,False,2021,5,22
2021-05-23,23020.291666666668,False,2021,5,23
2021-05-24,31574.875,False,2021,5,24
2021-05-25,32217.291666666668,False,2021,5,25
2021-05-26,32140.916666666668,False,2021,5,26
2021-05-27,32295.291666666668,False,2021,5,27
2021-05-28,31799.25,False,2021,5,28
2021-05-29,27013.291666666668,False,2021,5,29
2021-05-30,23002.916666666668,False,2021,5,30
2021-05-31,30167.75,False,2021,5,31
2021-06-01,30934.625,False,2021,6,1
2021-06-02,24670.375,False,2021,6,2
2021-06-03,31521.875,False,2021,6,3
2021-06-04,32834.666666666664,False,2021,6,4
2021-06-05,27629.416666666668,False,2021,6,5
2021-06-06,24345.458333333332,False,2021,6,6
2021-06-07,32168.083333333332,False,2021,6,7
2021-06-08,34176.75,False,2021,6,8
2021-06-09,34558.166666666664,False,2021,6,9
2021-06-10,34712.5,False,2021,6,10
2021-06-11,34573.75,False,2021,6,11
2021-06-12,29148.291666666668,False,2021,6,12
2021-06-13,25791.625,False,2021,6,13
2021-06-14,34659.625,False,2021,6,14
2021-06-15,36461.0,False,2021,6,15
2021-06-16,37041.75,False,2021,6,16
2021-06-17,37647.166666666664,False,2021,6,17
2021-06-18,37939.5,False,2021,6,18
2021-06-19,31938.291666666668,False,2021,6,19
2021-06-20,28158.958333333332,False,2021,6,20
2021-06-21,37779.791666666664,False,2021,6,21
2021-06-22,40524.833333333336,False,2021,6,22
2021-06-23,40850.083333333336,False,2021,6,23
2021-06-24,40977.541666666664,False,2021,6,24
2021-06-25,39839.958333333336,False,2021,6,25
2021-06-26,33236.75,False,2021,6,26
2021-06-27,29751.5,False,2021,6,27
2021-06-28,39288.416666666664,False,2021,6,28
2021-06-29,41495.541666666664,False,2021,6,29
2021-06-30,40872.458333333336,False,2021,6,30
2021-07-01,39539.666666666664,False,2021,7,1
2021-07-02,39142.708333333336,False,2021,7,2
2021-07-03,32928.833333333336,False,2021,7,3
2021-07-04,28334.416666666668,False,2021,7,4
2021-07-05,36952.75,False,2021,7,5
2021-07-06,39944.833333333336,False,2021,7,6
2021-07-07,41270.541666666664,False,2021,7,7
2021-07-08,41032.833333333336,False,2021,7,8
2021-07-09,39275.791666666664,False,2021,7,9
