Date,€/MWh
01/01/2015,45.472115
02/01/2015,56.988056
03/01/2015,50.532976
04/01/2015,45.106388
05/01/2015,53.368481
06/01/2015,50.460413
07/01/2015,60.380281
08/01/2015,60.799374
09/01/2015,56.331454
10/01/2015,47.370952
11/01/2015,39.805086
12/01/2015,49.840886
13/01/2015,55.099425
14/01/2015,51.119244
15/01/2015,53.062608
16/01/2015,52.050396
17/01/2015,46.859878
18/01/2015,47.666799
19/01/2015,52.333516
20/01/2015,54.027181
21/01/2015,53.487914
22/01/2015,52.771618
23/01/2015,52.664723
24/01/2015,47.819865
25/01/2015,42.199392
26/01/2015,50.437945
27/01/2015,52.003077
28/01/2015,52.214509
29/01/2015,51.753224
30/01/2015,48.813797
31/01/2015,51.353574
01/02/2015,40.724477
02/02/2015,53.044640
03/02/2015,60.243792
04/02/2015,56.667146
05/02/2015,56.477651
06/02/2015,53.142915
07/02/2015,53.655752
08/02/2015,45.015666
09/02/2015,56.903023
10/02/2015,58.911112
11/02/2015,60.059504
12/02/2015,61.953920
13/02/2015,56.332602
14/02/2015,59.308791
15/02/2015,52.594881
16/02/2015,55.776677
17/02/2015,52.421429
18/02/2015,55.652012
19/02/2015,57.134796
20/02/2015,56.411712
21/02/2015,48.978037
22/02/2015,51.058995
23/02/2015,53.161400
24/02/2015,52.971331
25/02/2015,52.728332
26/02/2015,55.204607
27/02/2015,57.703884
28/02/2015,51.870455
01/03/2015,47.895786
02/03/2015,45.850690
03/03/2015,56.598285
04/03/2015,53.157824
05/03/2015,51.290601
06/03/2015,49.398522
07/03/2015,43.233135
08/03/2015,45.731472
09/03/2015,50.139142
10/03/2015,53.423100
11/03/2015,51.998425
12/03/2015,46.860190
13/03/2015,48.211872
14/03/2015,51.857051
15/03/2015,50.415924
16/03/2015,55.228884
17/03/2015,53.481360
18/03/2015,52.512141
19/03/2015,50.011724
20/03/2015,61.572250
21/03/2015,47.710501
22/03/2015,47.759798
23/03/2015,54.729884
24/03/2015,57.333652
25/03/2015,56.966859
26/03/2015,54.038191
27/03/2015,49.420178
28/03/2015,37.674503
29/03/2015,38.745199
30/03/2015,41.883421
31/03/2015,43.967281
01/04/2015,42.801900
02/04/2015,51.420630
03/04/2015,43.823997
04/04/2015,52.645512
05/04/2015,38.621205
06/04/2015,32.796514
07/04/2015,47.923439
08/04/2015,46.654750
09/04/2015,49.387295
10/04/2015,48.560873
11/04/2015,53.467941
12/04/2015,46.793223
