"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"01.01.2015 00:00 - 01.01.2015 01:00","25586","24405"
"01.01.2015 01:00 - 01.01.2015 02:00","24076","23126"
"01.01.2015 02:00 - 01.01.2015 03:00","22419","21534"
"01.01.2015 03:00 - 01.01.2015 04:00","21020","20219"
"01.01.2015 04:00 - 01.01.2015 05:00","19903","19470"
"01.01.2015 05:00 - 01.01.2015 06:00","19565","19485"
"01.01.2015 06:00 - 01.01.2015 07:00","20539","20349"
"01.01.2015 07:00 - 01.01.2015 08:00","20815","20715"
"01.01.2015 08:00 - 01.01.2015 09:00","21117","21092"
"01.01.2015 09:00 - 01.01.2015 10:00","23205","22776"
"01.01.2015 10:00 - 01.01.2015 11:00","25747","24243"
"01.01.2015 11:00 - 01.01.2015 12:00","27552","25601"
"01.01.2015 12:00 - 01.01.2015 13:00","27853","25790"
"01.01.2015 13:00 - 01.01.2015 14:00","26147","24249"
"01.01.2015 14:00 - 01.01.2015 15:00","24608","23416"
"01.01.2015 15:00 - 01.01.2015 16:00","24108","23716"
"01.01.2015 16:00 - 01.01.2015 17:00","24820","25405"
"01.01.2015 17:00 - 01.01.2015 18:00","28430","29787"
"01.01.2015 18:00 - 01.01.2015 19:00","29663","30946"
"01.01.2015 19:00 - 01.01.2015 20:00","30473","31359"
"01.01.2015 20:00 - 01.01.2015 21:00","29978","30611"
"01.01.2015 21:00 - 01.01.2015 22:00","28560","29168"
"01.01.2015 22:00 - 01.01.2015 23:00","26425","26859"
"01.01.2015 23:00 - 02.01.2015 00:00","24163","24116"
"02.01.2015 00:00 - 02.01.2015 01:00","21359","21568"
"02.01.2015 01:00 - 02.01.2015 02:00","19549","19764"
"02.01.2015 02:00 - 02.01.2015 03:00","18676","18755"
"02.01.2015 03:00 - 02.01.2015 04:00","18457","18412"
"02.01.2015 04:00 - 02.01.2015 05:00","18645","18558"
"02.01.2015 05:00 - 02.01.2015 06:00","20498","19810"
"02.01.2015 06:00 - 02.01.2015 07:00","23243","22878"
"02.01.2015 07:00 - 02.01.2015 08:00","27162","26190"
"02.01.2015 08:00 - 02.01.2015 09:00","31266","29053"
"02.01.2015 09:00 - 02.01.2015 10:00","34571","31535"
"02.01.2015 10:00 - 02.01.2015 11:00","34964","31804"
"02.01.2015 11:00 - 02.01.2015 12:00","34991","31496"
"02.01.2015 12:00 - 02.01.2015 13:00","34211","30827"
"02.01.2015 13:00 - 02.01.2015 14:00","33309","29624"
"02.01.2015 14:00 - 02.01.2015 15:00","33515","30125"
"02.01.2015 15:00 - 02.01.2015 16:00","34269","31251"
"02.01.2015 16:00 - 02.01.2015 17:00","34754","33396"
"02.01.2015 17:00 - 02.01.2015 18:00","38053","38291"
"02.01.2015 18:00 - 02.01.2015 19:00","38226","38662"
"02.01.2015 19:00 - 02.01.2015 20:00","37225","38219"
"02.01.2015 20:00 - 02.01.2015 21:00","34912","35572"
"02.01.2015 21:00 - 02.01.2015 22:00","32108","32695"
"02.01.2015 22:00 - 02.01.2015 23:00","28801","29068"
"02.01.2015 23:00 - 03.01.2015 00:00","25775","25909"
"03.01.2015 00:00 - 03.01.2015 01:00","23023","22906"
"03.01.2015 01:00 - 03.01.2015 02:00","20963","20851"
"03.01.2015 02:00 - 03.01.2015 03:00","19878","19712"
"03.01.2015 03:00 - 03.01.2015 04:00","19366","19264"
"03.01.2015 04:00 - 03.01.2015 05:00","19379","19298"
"03.01.2015 05:00 - 03.01.2015 06:00","20199","20192"
"03.01.2015 06:00 - 03.01.2015 07:00","22259","22529"
"03.01.2015 07:00 - 03.01.2015 08:00","24592","25195"
"03.01.2015 08:00 - 03.01.2015 09:00","27056","27383"
"03.01.2015 09:00 - 03.01.2015 10:00","29249","29452"
"03.01.2015 10:00 - 03.01.2015 11:00","29970","29664"
"03.01.2015 11:00 - 03.01.2015 12:00","30000","28845"
"03.01.2015 12:00 - 03.01.2015 13:00","30688","27936"
"03.01.2015 13:00 - 03.01.2015 14:00","29051","27154"
"03.01.2015 14:00 - 03.01.2015 15:00","28692","27167"
"03.01.2015 15:00 - 03.01.2015 16:00","28656","28009"
"03.01.2015 16:00 - 03.01.2015 17:00","29758","30099"
"03.01.2015 17:00 - 03.01.2015 18:00","34339","34795"
"03.01.2015 18:00 - 03.01.2015 19:00","35660","35872"
"03.01.2015 19:00 - 03.01.2015 20:00","35746","35893"
"03.01.2015 20:00 - 03.01.2015 21:00","33729","33609"
"03.01.2015 21:00 - 03.01.2015 22:00","31107","30837"
"03.01.2015 22:00 - 03.01.2015 23:00","27869","27974"
"03.01.2015 23:00 - 04.01.2015 00:00","24970","25217"
"04.01.2015 00:00 - 04.01.2015 01:00","22135","22558"
"04.01.2015 01:00 - 04.01.2015 02:00","20366","20602"
"04.01.2015 02:00 - 04.01.2015 03:00","19316","19449"
"04.01.2015 03:00 - 04.01.2015 04:00","18689","18871"
"04.01.2015 04:00 - 04.01.2015 05:00","18664","18726"
"04.01.2015 05:00 - 04.01.2015 06:00","19104","19122"
"04.01.2015 06:00 - 04.01.2015 07:00","20306","20289"
"04.01.2015 07:00 - 04.01.2015 08:00","21673","21600"
"04.01.2015 08:00 - 04.01.2015 09:00","23135","23049"
"04.01.2015 09:00 - 04.01.2015 10:00","25689","25376"
"04.01.2015 10:00 - 04.01.2015 11:00","27737","26859"
"04.01.2015 11:00 - 04.01.2015 12:00","28670","27740"
"04.01.2015 12:00 - 04.01.2015 13:00","27999","27326"
"04.01.2015 13:00 - 04.01.2015 14:00","26863","26018"
"04.01.2015 14:00 - 04.01.2015 15:00","25922","25049"
"04.01.2015 15:00 - 04.01.2015 16:00","25944","24868"
"04.01.2015 16:00 - 04.01.2015 17:00","26778","25826"
"04.01.2015 17:00 - 04.01.2015 18:00","31036","30053"
"04.01.2015 18:00 - 04.01.2015 19:00","32433","31608"
"04.01.2015 19:00 - 04.01.2015 20:00","33007","32356"
"04.01.2015 20:00 - 04.01.2015 21:00","32186","31312"
"04.01.2015 21:00 - 04.01.2015 22:00","30478","29367"
"04.01.2015 22:00 - 04.01.2015 23:00","27995","27050"
"04.01.2015 23:00 - 05.01.2015 00:00","25271","24216"
"05.01.2015 00:00 - 05.01.2015 01:00","22858","21778"
"05.01.2015 01:00 - 05.01.2015 02:00","20987","19993"
"05.01.2015 02:00 - 05.01.2015 03:00","20029","19020"
"05.01.2015 03:00 - 05.01.2015 04:00","19618","18676"
"05.01.2015 04:00 - 05.01.2015 05:00","19718","18880"
"05.01.2015 05:00 - 05.01.2015 06:00","21051","20107"
"05.01.2015 06:00 - 05.01.2015 07:00","24338","23220"
"05.01.2015 07:00 - 05.01.2015 08:00","27818","26785"
"05.01.2015 08:00 - 05.01.2015 09:00","31283","30021"
"05.01.2015 09:00 - 05.01.2015 10:00","34017","32544"
"05.01.2015 10:00 - 05.01.2015 11:00","34533","33622"
"05.01.2015 11:00 - 05.01.2015 12:00","34407","33846"
"05.01.2015 12:00 - 05.01.2015 13:00","33305","32785"
"05.01.2015 13:00 - 05.01.2015 14:00","32110","31687"
"05.01.2015 14:00 - 05.01.2015 15:00","32167","30923"
"05.01.2015 15:00 - 05.01.2015 16:00","32287","31133"
